Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1339422,Credit reporting,,Credit monitoring or identity protection,Account terms and changes,OH,43701,Web,4/21/2015,4/21/2015,Equifax,Closed with explanation,Yes,
1339421,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,GA,30144,Phone,4/21/2015,4/23/2015,"EOS Holdings, Inc.",Closed with explanation,Yes,
1339415,Credit reporting,,Incorrect information on credit report,Account status,WA,98271,Referral,4/21/2015,5/4/2015,Experian,Closed with explanation,Yes,
1339414,Credit reporting,,Incorrect information on credit report,Account status,WA,98271,Referral,4/21/2015,5/4/2015,TransUnion,Closed with explanation,Yes,
1339444,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,MA,2360,Web,4/21/2015,4/21/2015,"Green Tree Servicing, LLC",In progress,Yes,
1339465,Bank account or service,Checking account,Deposits and withdrawals,,FL,34431,Web,4/21/2015,4/21/2015,SunTrust Bank,Closed with explanation,Yes,
1339588,Student loan,Non-federal student loan,Can't repay my loan,,GA,30120,Referral,4/21/2015,4/23/2015,Navient,Closed with explanation,Yes,
1339504,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,,,Phone,4/21/2015,4/24/2015,"Premium Asset Services, LLC",In progress,Yes,
1339443,Bank account or service,Other bank product/service,"Account opening, closing, or management",,IN,46743,Web,4/21/2015,4/21/2015,The Huntington National Bank,Closed with explanation,Yes,Yes
1339464,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IL,60564,Web,4/21/2015,4/24/2015,"ATG Credit, LLC",Closed with explanation,Yes,
1339447,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,NE,68137,Web,4/21/2015,4/23/2015,TD Bank,Closed with explanation,Yes,Yes
1339446,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,NE,68137,Web,4/21/2015,4/21/2015,Encore Capital Group,Closed with explanation,Yes,
1339459,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,92057,Referral,4/21/2015,4/23/2015,Bank of America,In progress,Yes,
1339451,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,TN,38555,Referral,4/21/2015,4/23/2015,HSBC,Closed with explanation,Yes,
1339458,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,NY,11788,Web,4/21/2015,4/21/2015,HSBC,Closed with explanation,Yes,
1339484,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,8865,Web,4/21/2015,4/21/2015,"Eastern Account Systems of Connecticut, Inc.",Closed with explanation,Yes,
1339499,Mortgage,Other mortgage,"Application, originator, mortgage broker",,AZ,85546,Web,4/21/2015,4/21/2015,"Mann Mortgage, LLC",Closed with explanation,Yes,
1339478,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,8865,Web,4/21/2015,4/21/2015,"Pinnacle Credit Services, LLC",Closed with explanation,Yes,
1339483,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,8865,Web,4/21/2015,4/21/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1339482,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,8865,Web,4/21/2015,4/21/2015,"EOS Holdings, Inc.",Closed with explanation,Yes,
1339480,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,NJ,8865,Web,4/21/2015,4/21/2015,"Lazarus Financial Group, Inc.",Closed with explanation,Yes,
1339486,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,8865,Web,4/21/2015,4/21/2015,Experian,In progress,Yes,
1339496,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,FL,33967,Referral,4/21/2015,4/23/2015,Nationstar Mortgage,Closed with explanation,Yes,Yes
1339485,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,8865,Web,4/21/2015,4/21/2015,Equifax,In progress,Yes,
1339491,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,LA,70808,Web,4/21/2015,4/23/2015,"JDJ Investments, INC.",Closed with explanation,Yes,Yes
1339487,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,,Web,4/21/2015,4/24/2015,TransUnion,In progress,Yes,
1342717,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,GA,30024,Web,4/21/2015,4/22/2015,Columbia Collectors Inc,Untimely response,No,
1339505,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11796,Referral,4/21/2015,5/5/2015,Rushmore Loan Management Services LLC,Closed with explanation,Yes,
1339555,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,90815,Web,4/21/2015,4/21/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1342643,Credit card,,Billing disputes,,FL,32922,Web,4/21/2015,4/22/2015,Amex,Closed with explanation,Yes,Yes
1342621,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,NJ,7501,Web,4/21/2015,4/22/2015,Equifax,In progress,Yes,
1342635,Payday loan,,Charged fees or interest I didn't expect,,CA,95814,Web,4/21/2015,4/24/2015,"Risecredit, LLC",Closed with explanation,Yes,
1342646,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NV,89433,Web,4/21/2015,4/21/2015,Bank of America,In progress,Yes,
1342644,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,91711,Referral,4/21/2015,4/24/2015,Nationstar Mortgage,Closed with explanation,Yes,
1342658,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,76244,Web,4/21/2015,4/22/2015,PayPal,Closed with non-monetary relief,Yes,
1339525,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,76273,Web,4/21/2015,4/21/2015,"Aargon Agency, Inc.",Untimely response,No,
1342703,Consumer loan,Vehicle loan,Managing the loan or lease,,NY,10306,Web,4/21/2015,5/5/2015,JPMorgan Chase,Closed with explanation,Yes,
1339553,Debt collection,,False statements or representation,Impersonated an attorney or official,NJ,7901,Web,4/21/2015,4/22/2015,"Trident Asset Management, L.L.C.",Untimely response,No,
1339545,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,OK,74056,Referral,4/21/2015,4/23/2015,M&T Bank,Closed with explanation,Yes,
1342701,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,CA,94087,Web,4/21/2015,4/21/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1339518,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,TX,77477,Web,4/21/2015,4/21/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1339516,Credit reporting,,Incorrect information on credit report,Personal information,TX,77006,Web,4/21/2015,4/21/2015,Equifax,Closed with explanation,Yes,
1339506,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,NY,11796,Referral,4/21/2015,4/23/2015,Rushmore Loan Management Services LLC,Closed with explanation,Yes,
1339536,Credit card,,Billing disputes,,VA,23219,Web,4/21/2015,4/21/2015,Bank of America,Closed with monetary relief,Yes,
1339544,Debt collection,,Communication tactics,Frequent or repeated calls,OR,97403,Web,4/21/2015,4/21/2015,"P&B Capital Group, LLC",Closed with explanation,Yes,
1339541,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,13669,Web,4/21/2015,4/21/2015,Ocwen,Closed with explanation,Yes,
1339540,Credit card,,Billing disputes,,NY,10901,Web,4/21/2015,4/21/2015,Capital One,Closed with explanation,Yes,
1339537,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,MA,1569,Web,4/21/2015,4/21/2015,Ocwen,Closed with explanation,Yes,
1342709,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,95841,Referral,4/21/2015,4/24/2015,Wells Fargo,In progress,Yes,
1341034,Credit card,,Advertising and marketing,,CO,81301,Web,4/21/2015,4/22/2015,U.S. Bancorp,Closed with non-monetary relief,Yes,
1340875,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,CA,91501,Web,4/21/2015,4/30/2015,Transworld Systems Inc.,Closed with explanation,Yes,Yes
1340871,Mortgage,Other mortgage,Settlement process and costs,,CA,94533,Referral,4/21/2015,4/25/2015,Ocwen,Closed,Yes,
1339577,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,DC,20002,Web,4/21/2015,4/21/2015,"Cavalry Investments, LLC",Closed with explanation,Yes,
1341078,Credit card,,Sale of account,,CA,91710,Web,4/21/2015,4/24/2015,Wells Fargo,Closed with non-monetary relief,Yes,
1339581,Student loan,Non-federal student loan,Dealing with my lender or servicer,,VT,5030,Web,4/21/2015,4/21/2015,Navient,Closed with non-monetary relief,Yes,
1339584,Prepaid card,General purpose card,Adding money,,NC,28304,Web,4/21/2015,4/24/2015,"NetSpend Corporation,  a TSYS Company",Closed with monetary relief,Yes,
1339583,Bank account or service,Checking account,"Making/receiving payments, sending money",,MN,55013,Phone,4/21/2015,4/22/2015,TCF National Bank,Closed with monetary relief,Yes,
